10 13
1 2 2 
2 3 1
1 4 3
4 5 5
2 5 2
2 6 2 
6 7 10
4 8 5
8 7 6
2 9 9
9 10 8
3 10 2
10 7 1

6 7
1 2 15
2 3 20
2 5 19
1 5 17
5 4 31
4 6 35
3 4 9

13 13
1 2 31
2 4 17
4 3 19
1 3 26
3 6 39
6 5 32
6 8 11
5 7 13
7 8 25
9 10 33
11 12 18
12 13 8
13 11 49

20 47
5 1 3
1 2 8
2 6 7
2 3 2
1 3 1
2 7 3
3 7 9
6 7 8 
6 12 4
7 12 1
5 4 1
1 4 2
3 4 3
4 11 5
5 11 6
4 9 9 
3 9 8
7 9 3
8 9 2
7 8 1
12 8 2
3 8 3
11 10 3
9 10 5
5 10 6
9 15 7
14 15 8
8 14 4
9 14 6
13 14 8
9 13 2
7 13 3
12 13 5
12 17 7
13 17 9
18 17 1
14 18 3
13 18 6
20 18 9
15 20 3
19 20 9 
15 19 4
10 19 8
16 19 5
11 16 7
10 16 6
15 16 6

9 8
1 2 27
1 5 33
9 2 31
2 3 16
2 4 18
5 7 47
7 8 56
5 6 50

22 36
1 2 6
2 3 7
2 4 3
1 3 1
1 4 5
3 4 2
3 5 8 
5 6 9
5 7 3
5 8 3
6 7 5
6 8 7
5 9 4
7 9 4
8 9 3
8 10 2
10 11 4
10 12 4
11 12 2
11 13 2
13 14 3
14 15 2
15 16 5
16 17 3
17 13 6
14 16 9
14 17 3
16 13 5
12 18 8
18 19 9
19 20 3
20 21 2
21 22 1
22 18 1
22 19 5
19 21 6
